forecast_time,target_time,rain_gage_id,forecast_horizon_min,forecast_rainfall_mm,source
2017-06-29,2017-06-29 03:41:00,rg5425,221,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:42:00,rg5425,222,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:43:00,rg5425,223,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:44:00,rg5425,224,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:45:00,rg5425,225,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:46:00,rg5425,226,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:47:00,rg5425,227,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:48:00,rg5425,228,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:49:00,rg5425,229,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:50:00,rg5425,230,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:51:00,rg5425,231,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:52:00,rg5425,232,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:53:00,rg5425,233,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:54:00,rg5425,234,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:55:00,rg5425,235,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:56:00,rg5425,236,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:57:00,rg5425,237,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:58:00,rg5425,238,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:59:00,rg5425,239,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:00:00,rg5425,240,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:01:00,rg5425,241,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:02:00,rg5425,242,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:03:00,rg5425,243,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:04:00,rg5425,244,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:05:00,rg5425,245,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:06:00,rg5425,246,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:07:00,rg5425,247,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:08:00,rg5425,248,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:09:00,rg5425,249,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:10:00,rg5425,250,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:11:00,rg5425,251,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:12:00,rg5425,252,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:13:00,rg5425,253,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:14:00,rg5425,254,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:15:00,rg5425,255,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:16:00,rg5425,256,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:17:00,rg5425,257,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:18:00,rg5425,258,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:19:00,rg5425,259,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:20:00,rg5425,260,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:21:00,rg5425,261,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:22:00,rg5425,262,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:23:00,rg5425,263,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:24:00,rg5425,264,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:25:00,rg5425,265,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:26:00,rg5425,266,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:27:00,rg5425,267,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:28:00,rg5425,268,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:29:00,rg5425,269,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:30:00,rg5425,270,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:31:00,rg5425,271,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:32:00,rg5425,272,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:33:00,rg5425,273,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:34:00,rg5425,274,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:35:00,rg5425,275,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:36:00,rg5425,276,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:37:00,rg5425,277,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:38:00,rg5425,278,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:39:00,rg5425,279,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:40:00,rg5425,280,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:41:00,rg5425,281,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:42:00,rg5425,282,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:43:00,rg5425,283,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:44:00,rg5425,284,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:45:00,rg5425,285,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:46:00,rg5425,286,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:47:00,rg5425,287,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:48:00,rg5425,288,0.0,historical_window_minutely
